# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul  5 11:28:47 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_glon not null
# CONSTRAINT:  and st_glat not null)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamperr2:   Radial Velocity Amplitude Lower Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_mnum:        Number of Moons in System
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_radv:        Radial Velocity [km/s]
# COLUMN st_radverr1:    Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Radial Velocity Lower Unc. [km/s]
# COLUMN st_radvlim:     Radial Velocity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_facility,pl_mnum,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
HD 109749,b,HD 109749 b,Radial Velocity,1,5.23989100,0.00009900,-0.00009900,0,0.061500,0.004000,-0.004000,0,0.000000,,,0,,,,,,,,,0,63.20,0.29,-0.29,0,63.20,0.29,-0.29,0,5824.00,,,0,1.13,0.22,-0.22,0,1.22,0.09,-0.09,0,2018-09-27,29.200,1.100,-1.100,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,300.042221,21.980192,-13.70,0.20,-0.20,0,,,,,0.190,0.060,-0.060,0
HD 110014,b,HD 110014 b,Radial Velocity,1,835.47700000,6.04000000,-6.04000000,0,2.140000,0.030000,-0.030000,0,0.462000,0.069000,-0.069000,0,,,,,,,,,0,100.98,1.97,-1.97,0,100.98,1.97,-1.97,0,4445.00,70.00,-70.00,0,2.17,0.28,-0.28,0,20.90,1.10,-1.10,0,2014-05-14,158.200,14.400,-14.400,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,297.697047,54.752220,-18.62,0.12,-0.12,0,2.10,0.10,-0.10,0,,,,
HD 111232,b,HD 111232 b,Radial Velocity,1,1143.00000000,14.00000000,-14.00000000,0,1.970000,0.040000,-0.040000,0,0.200000,0.010000,-0.010000,0,,,,,,,,,0,28.98,0.04,-0.04,0,28.98,0.04,-0.04,0,5512.00,24.00,-24.00,0,0.84,0.03,-0.03,0,0.90,0.01,-0.01,0,2018-09-06,159.300,2.300,-2.300,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,302.694112,-5.554526,104.40,0.00,0.00,0,4.45,0.01,-0.01,0,,,,
HD 111591,b,HD 111591 b,Radial Velocity,1,1056.40000000,14.30000000,-14.30000000,0,2.500000,0.100000,-0.100000,0,0.260000,0.100000,-0.100000,0,,,,,,,,,0,114.54,0.70,-0.70,0,114.54,0.70,-0.70,0,4884.00,30.00,-30.00,0,1.94,0.07,-0.07,0,8.03,0.49,-0.49,0,2017-11-30,59.000,3.000,-3.000,0,,,,,,,,,,,,,,,,,Multiple Observatories,0,299.375117,85.727173,5.67,0.17,-0.17,0,3.10,0.10,-0.10,0,1.581,,,0
HD 111998,b,HD 111998 b,Radial Velocity,1,825.90000000,6.20000000,-6.20000000,0,1.820000,0.070000,-0.070000,0,0.030000,0.040000,-0.040000,0,,,,,,,,,0,33.26,0.06,-0.06,0,33.26,0.06,-0.06,0,6557.00,96.00,-96.00,0,1.18,0.12,-0.12,0,1.45,0.07,-0.07,0,2016-09-08,87.600,3.400,-3.400,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,303.786647,59.315752,-6.40,0.60,-0.60,0,4.19,0.11,-0.11,0,,,,
HD 113337,b,HD 113337 b,Radial Velocity,1,324.00000000,1.70000000,-3.30000000,0,0.920000,0.090000,-0.090000,0,0.460000,0.040000,-0.040000,0,,,,,,,,,0,36.22,0.06,-0.06,0,36.22,0.06,-0.06,0,6576.60,153.20,-149.70,0,1.40,0.14,-0.14,0,1.50,0.15,-0.15,0,2014-05-14,75.600,3.700,-3.600,0,,,,,,,,,,,,,,,,,Haute-Provence Observatory,0,121.000766,53.479308,-16.00,0.30,-0.30,0,4.21,0.08,-0.08,0,,,,
HD 113538,b,HD 113538 b,Radial Velocity,2,663.20000000,8.40000000,-7.40000000,0,1.240000,0.040000,-0.040000,,0.140000,0.080000,-0.080000,0,,,,,,,,,0,15.90,,,0,16.29,0.01,-0.01,0,4462.00,145.00,-145.00,0,0.58,0.05,-0.05,0,0.53,0.02,-0.02,0,2015-01-08,12.200,1.100,-1.100,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,305.025704,10.373918,39.20,0.60,-0.60,0,3.79,0.53,-0.53,0,,,,
HD 113538,c,HD 113538 c,Radial Velocity,2,1818.00000000,25.00000000,-22.00000000,0,2.440000,0.070000,-0.070000,0,0.200000,0.040000,-0.040000,0,,,,,,,,,0,15.90,,,0,16.29,0.01,-0.01,0,4462.00,145.00,-145.00,0,0.58,0.05,-0.05,0,0.53,0.02,-0.02,0,2015-01-08,22.600,0.800,-0.800,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,305.025704,10.373918,39.20,0.60,-0.60,0,3.79,0.53,-0.53,0,,,,
HD 113996,b,HD 113996 b,Radial Velocity,1,610.20000000,3.80000000,-3.80000000,0,1.600000,0.100000,-0.100000,0,0.280000,0.120000,-0.120000,0,,,,,,,,,0,116.34,5.06,-5.06,0,116.34,5.06,-5.06,0,4181.00,40.00,-40.00,0,1.49,0.18,-0.18,0,25.11,1.20,-1.20,0,2017-11-30,120.000,9.000,-9.000,0,,,,,,,,,,,,,,,,,Bohyunsan Optical Astronomical Observatory,0,41.919431,86.470589,-15.72,0.01,-0.01,0,1.86,0.16,-0.16,0,2.464,,,0
HD 114386,b,HD 114386 b,Radial Velocity,1,937.70001000,16.00000000,-16.00000000,0,1.730000,0.030000,-0.030000,0,0.230000,0.030000,-0.030000,0,,,,,,,,,0,27.95,0.04,-0.04,0,27.95,0.04,-0.04,0,4836.00,18.00,-18.00,0,0.60,0.09,-0.09,0,0.76,0.02,-0.02,0,2018-09-06,34.300,1.600,-1.600,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,307.373028,27.651165,34.00,,,0,4.45,0.06,-0.06,0,,,,
HD 114613,b,HD 114613 b,Radial Velocity,1,4000.00000000,120.00000000,-120.00000000,0,5.340000,0.260000,-0.260000,0,0.458000,0.089000,-0.089000,0,,,,,,,,,0,20.29,0.09,-0.09,0,20.29,0.09,-0.09,0,5641.00,,,0,1.27,,,0,2.14,,,0,2018-12-06,4.380,0.400,-0.400,0,,,,,,,,,,,,,,,,,Anglo-Australian Telescope,0,307.419490,24.889080,-11.20,,,0,3.87,,,0,,,,
HD 114729,b,HD 114729 b,Radial Velocity,1,1121.79000000,3.53000000,-3.43000000,0,2.067000,0.010000,-0.010000,0,0.079000,0.029000,-0.032000,0,,,,,,,,,0,37.85,0.05,-0.05,0,37.85,0.05,-0.05,0,5844.00,12.00,-12.00,0,0.94,0.01,-0.01,0,1.47,0.04,-0.04,0,2019-06-27,16.910,0.530,-0.520,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,308.195212,30.780665,64.40,0.20,-0.20,0,4.05,0.02,-0.02,0,,,,
HD 114762,b,HD 114762 b,Radial Velocity,1,83.91510000,0.00300000,-0.00300000,0,0.360000,0.010000,-0.010000,0,0.340000,0.000000,0.000000,0,,,,,,,,,0,40.23,0.44,-0.44,0,40.23,0.44,-0.44,0,5869.00,13.00,-13.00,0,0.80,0.06,-0.06,0,1.20,0.02,-0.02,0,2018-09-06,612.500,3.500,-3.500,0,,,,,,,,,,,,,,,,,Oak Ridge Observatory,0,330.658680,79.246772,49.20,0.10,-0.10,0,4.18,0.03,-0.03,0,,,,
HD 11506,b,HD 11506 b,Radial Velocity,2,1622.10000000,2.10000000,-2.10000000,0,2.900000,0.140000,-0.140000,0,0.374300,0.005300,-0.005300,0,,,,,,,,,0,51.34,0.13,-0.13,0,51.34,0.13,-0.13,0,6030.00,,,0,1.24,0.18,-0.18,0,1.34,0.05,-0.05,0,2018-09-27,78.170,0.570,-0.570,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,187.757215,-73.994616,-8.10,1.10,-1.10,0,,,,,0.330,0.030,-0.030,0
HD 11506,c,HD 11506 c,Radial Velocity,2,223.41000000,0.32000000,-0.32000000,0,0.774000,0.038000,-0.038000,0,0.193000,0.038000,-0.038000,0,,,,,,,,,0,51.34,0.13,-0.13,0,51.34,0.13,-0.13,0,6030.00,,,0,1.24,0.18,-0.18,0,1.34,0.05,-0.05,0,2018-09-27,12.100,0.410,-0.410,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,187.757215,-73.994616,-8.10,1.10,-1.10,0,,,,,0.330,0.030,-0.030,0
HD 116029,b,HD 116029 b,Radial Velocity,2,670.00000000,11.00000000,-11.00000000,0,1.650000,0.050000,-0.050000,0,0.000000,,,0,,,,,,,,,0,123.68,0.59,-0.59,0,123.68,0.59,-0.59,0,4819.00,54.00,-54.00,0,0.83,0.24,-0.24,0,4.89,0.21,-0.21,0,2018-09-06,36.600,3.100,-3.100,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,13.885099,82.977258,-6.42,0.13,-0.13,0,2.98,0.12,-0.12,0,,,,
HD 117207,b,HD 117207 b,Radial Velocity,1,2621.75000000,8.37000000,-8.53000000,0,3.787000,0.034000,-0.035000,0,0.157000,0.013000,-0.013000,0,,,,,,,,,0,32.38,0.05,-0.05,0,32.38,0.05,-0.05,0,5732.00,53.00,-53.00,0,1.05,0.03,-0.03,0,1.07,0.04,-0.04,0,2019-06-27,27.780,0.330,-0.330,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,311.552426,26.665355,-17.90,0.10,-0.10,0,4.37,0.04,-0.04,0,,,,
HD 11755,b,HD 11755 b,Radial Velocity,1,433.70001000,3.20000000,-3.20000000,0,1.090000,0.040000,-0.040000,0,0.190000,0.100000,-0.100000,0,,,,,,,,,0,236.64,1.62,-1.62,0,236.64,1.62,-1.62,0,4312.00,5.00,-5.00,0,0.72,0.17,-0.17,0,20.58,2.27,-2.27,0,2018-09-06,191.300,10.200,-10.200,0,,,,,,,,,,,,,,,,,Bohyunsan Optical Astronomical Observatory,0,127.840069,10.926218,-86.72,0.15,-0.15,0,1.67,0.03,-0.03,0,,,,
HD 118203,b,HD 118203 b,Radial Velocity,1,6.13350000,0.00060000,-0.00060000,0,0.070000,0.000000,0.000000,0,0.310000,0.010000,-0.010000,0,,,,,,,,,0,92.51,0.24,-0.24,0,92.51,0.24,-0.24,0,5864.00,25.00,-25.00,0,1.84,0.24,-0.24,0,2.06,0.06,-0.06,0,2018-09-06,217.000,3.000,-3.000,0,,,,,,,,,,,,,,,,,Haute-Provence Observatory,0,109.344272,62.261510,-29.39,0.01,-0.01,0,4.08,0.05,-0.05,0,,,,
HD 11977,b,HD 11977 b,Radial Velocity,1,711.00000000,8.00000000,-8.00000000,0,1.930000,,,0,0.400000,0.070000,-0.070000,0,,,,,,,,,0,68.05,0.71,-0.71,0,68.05,0.71,-0.71,0,4970.00,70.00,-70.00,0,1.91,0.21,-0.21,0,10.09,0.32,-0.32,0,2019-01-31,105.000,8.000,-8.000,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,293.925449,-48.355358,-18.01,,,0,2.90,0.20,-0.20,0,,,,
HD 120084,b,HD 120084 b,Radial Velocity,1,2082.00000000,24.00000000,-35.00000000,0,4.300000,,,0,0.660000,0.140000,-0.100000,0,,,,,,,,,0,103.35,0.52,-0.52,0,103.35,0.52,-0.52,0,4892.00,22.00,-22.00,0,2.39,0.06,-0.30,0,9.12,0.65,-0.61,0,2014-05-14,53.000,33.000,-11.000,0,,,,,,,,,,,,,,,,,Okayama Astrophysical Observatory,0,119.563913,38.726981,-8.80,0.16,-0.16,0,2.71,0.08,-0.08,0,1.640,,,0
HD 121504,b,HD 121504 b,Radial Velocity,1,63.33000000,0.03000000,-0.03000000,0,0.330000,0.010000,-0.010000,0,0.030000,0.010000,-0.010000,0,,,,,,,,,0,41.71,0.07,-0.07,0,41.71,0.07,-0.07,0,6027.00,24.00,-24.00,0,1.62,0.21,-0.21,0,1.07,0.02,-0.02,0,2018-09-06,55.800,0.900,-0.900,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,312.085268,5.657071,19.30,0.10,-0.10,0,4.59,0.06,-0.06,0,,,,
HD 125390,b,HD 125390 b,Radial Velocity,1,1756.20000000,3.90000000,-3.90000000,0,3.160000,0.360000,-0.360000,0,0.591000,0.014000,-0.014000,0,,,,,,,,,0,154.33,0.85,-0.85,0,154.33,0.85,-0.85,0,4850.00,,,0,1.36,,,0,6.47,,,0,2019-11-07,373.000,16.000,-16.000,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,71.647338,68.401043,-76.52,0.14,-0.14,0,3.13,,,0,,,,
HD 125595,b,HD 125595 b,Radial Velocity,1,9.67370000,0.00390000,-0.00390000,0,0.080000,0.000000,0.000000,0,0.000000,,,0,,,,,,,,,0,28.22,0.06,-0.06,0,28.22,0.06,-0.06,0,4691.00,166.00,-166.00,0,0.29,0.25,-0.25,0,0.74,0.05,-0.05,0,2018-09-06,4.800,0.500,-0.500,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,320.911149,19.316652,4.48,0.45,-0.45,0,4.17,0.37,-0.37,0,,,,
HD 125612,b,HD 125612 b,Radial Velocity,3,557.04000000,0.35000000,-0.35000000,0,1.372000,0.083000,-0.083000,0,0.455300,0.005500,-0.005500,0,,,,,,,,,0,57.72,0.16,-0.16,0,57.72,0.16,-0.16,0,5841.00,,,0,1.11,0.20,-0.20,0,1.05,0.07,-0.07,0,2018-09-27,80.460,0.530,-0.530,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,331.389895,40.395578,-18.40,0.20,-0.20,0,,,,,0.060,0.060,-0.060,0
HD 125612,c,HD 125612 c,Radial Velocity,3,4.15514000,0.00026000,-0.00026000,0,0.052400,0.003100,-0.003100,0,0.049000,0.038000,-0.038000,0,,,,,,,,,0,57.72,0.16,-0.16,0,57.72,0.16,-0.16,0,5841.00,,,0,1.11,0.20,-0.20,0,1.05,0.07,-0.07,0,2018-09-27,6.460,0.440,-0.440,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,331.389895,40.395578,-18.40,0.20,-0.20,0,,,,,0.060,0.060,-0.060,0
HD 125612,d,HD 125612 d,Radial Velocity,3,2835.00000000,7.90000000,-7.90000000,0,4.060000,0.250000,-0.250000,0,0.117200,0.005600,-0.005600,0,,,,,,,,,0,57.72,0.16,-0.16,0,57.72,0.16,-0.16,0,5841.00,,,0,1.11,0.20,-0.20,0,1.05,0.07,-0.07,0,2018-09-27,98.370,0.590,-0.590,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,331.389895,40.395578,-18.40,0.20,-0.20,0,,,,,0.060,0.060,-0.060,0
HD 12648,b,HD 12648 b,Radial Velocity,1,133.60001000,0.50000000,-0.50000000,0,0.540000,0.020000,-0.020000,0,0.040000,0.080000,-0.080000,0,,,,,,,,,0,183.15,0.95,-0.95,0,183.15,0.95,-0.95,0,4835.00,7.00,-7.00,0,0.67,0.07,-0.07,0,11.02,0.48,-0.48,0,2018-09-06,102.000,8.400,-8.400,0,,,,,,,,,,,,,,,,,Bohyunsan Optical Astronomical Observatory,0,124.659570,23.161463,-12.30,0.15,-0.15,0,2.18,0.03,-0.03,0,,,,
HD 126525,b,HD 126525 b,Radial Velocity,1,960.41000000,6.19000000,-6.33000000,0,1.837000,0.010000,-0.010000,0,0.035000,0.039000,-0.024000,0,,,,,,,,,0,37.69,0.07,-0.07,0,37.69,0.07,-0.07,0,5638.00,13.00,-13.00,0,0.90,0.01,-0.01,0,0.98,0.03,-0.03,0,2019-06-27,5.260,0.250,-0.250,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,317.624816,8.175663,13.09,0.21,-0.21,0,4.38,0.03,-0.03,0,,,,
HD 12661,b,HD 12661 b,Radial Velocity,2,262.70862000,0.08300000,-0.08300000,0,0.840000,0.020000,-0.020000,0,0.380000,0.010000,-0.010000,0,,,,,,,,,0,37.89,0.06,-0.06,0,37.89,0.06,-0.06,0,5645.00,31.00,-31.00,0,1.20,0.10,-0.10,0,1.20,0.02,-0.02,0,2018-09-06,73.600,0.600,-0.600,0,,,,,,,,,,,,,,,,,Multiple Observatories,0,143.063016,-34.582301,-47.30,,,0,4.36,0.03,-0.03,0,,,,
HD 12661,c,HD 12661 c,Radial Velocity,2,1708.00000000,14.00000000,-14.00000000,0,2.814500,0.023800,-0.023800,0,0.031000,0.022000,-0.022000,0,,,,,,,,,0,37.89,0.06,-0.06,0,37.89,0.06,-0.06,0,5645.00,31.00,-31.00,0,1.20,0.10,-0.10,0,1.20,0.02,-0.02,0,2014-11-19,30.410,0.620,-0.620,0,,,,,,,,,,,,,,,,,Multiple Observatories,0,143.063016,-34.582301,-47.30,,,0,4.36,0.03,-0.03,0,,,,
HD 126614,b,HD 126614 b,Radial Velocity,1,1244.00000000,17.00000000,-17.00000000,0,2.370000,0.040000,-0.040000,0,0.410000,0.100000,-0.100000,0,,,,,,,,,0,73.25,0.24,-0.24,0,73.25,0.24,-0.24,0,5568.00,23.00,-23.00,0,1.26,0.20,-0.20,0,1.32,0.05,-0.05,0,2018-09-06,7.300,0.700,-0.700,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,342.012778,50.315234,-33.10,,,0,4.30,0.06,-0.06,0,,,,
HD 128311,b,HD 128311 b,Radial Velocity,2,453.01900000,0.40400000,-0.40400000,0,1.084000,0.006000,-0.006000,0,0.303000,0.011000,-0.011000,0,30.000,,,-1,,,,,0,16.52,0.04,-0.04,0,16.34,0.02,-0.02,0,,,,,0.83,0.01,-0.01,0,0.76,0.02,-0.02,0,2015-06-25,55.627,0.456,-0.456,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,2.729702,59.837362,-9.60,,,0,4.61,0.01,-0.02,0,,,,
HD 128311,c,HD 128311 c,Radial Velocity,2,921.53800000,1.15000000,-1.15000000,0,1.740000,0.010000,-0.010000,0,0.159000,0.006000,-0.006000,0,55.950,14.553,-14.553,0,,,,,0,16.52,0.04,-0.04,0,16.34,0.02,-0.02,0,,,,,0.83,0.01,-0.01,0,0.76,0.02,-0.02,0,2015-06-25,74.799,1.497,-1.497,0,,,,,1204.25787,293.67492,-137.30256,0,,,,,,,,,W. M. Keck Observatory,0,2.729702,59.837362,-9.60,,,0,4.61,0.01,-0.02,0,,,,
HD 128356,b,HD 128356 b,Radial Velocity,1,298.20000000,1.60000000,-1.60000000,0,0.870000,0.030000,-0.030000,0,0.570000,0.080000,-0.080000,0,,,,,,,,,0,26.03,0.52,-0.52,0,,,,,4875.00,100.00,-100.00,0,0.65,0.05,-0.05,0,0.85,0.02,-0.02,0,2016-11-10,36.900,1.200,-1.200,0,,,,,,,,,,,,,,,,,Multiple Observatories,0,330.871809,31.275279,,,,,4.52,0.06,-0.06,0,-0.444,0.012,-0.012,0
HD 130322,b,HD 130322 b,Radial Velocity,1,10.70871000,0.00018000,-0.00018000,0,0.092500,,,0,0.029000,0.016000,-0.016000,0,,,,,,,,,0,31.91,0.07,-0.07,0,31.91,0.07,-0.07,0,5387.00,44.00,-44.00,0,0.92,0.03,-0.03,0,0.85,0.04,-0.04,0,2015-02-19,112.500,2.400,-2.400,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,353.214842,50.891193,-12.60,0.20,-0.20,0,4.52,0.06,-0.06,0,,,,
HD 131496,b,HD 131496 b,Radial Velocity,1,896.00000000,16.00000000,-16.00000000,0,2.010000,0.120000,-0.120000,0,0.181000,0.060000,-0.060000,0,,,,,,,,,0,132.34,1.15,-1.15,0,132.34,1.15,-1.15,0,4846.00,,,0,1.34,,,0,4.44,,,0,2018-12-06,31.600,1.800,-1.800,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,21.811605,60.588702,1.36,0.16,-0.16,0,3.18,,,0,,,,
HD 131664,b,HD 131664 b,Radial Velocity,1,1951.00000000,41.00000000,-41.00000000,0,3.170000,0.070000,-0.070000,0,0.640000,0.000000,0.000000,0,,,,,,,,,0,52.89,0.10,-0.10,0,52.89,0.10,-0.10,0,5892.00,40.00,-40.00,0,1.19,0.11,-0.11,0,1.08,0.02,-0.02,0,2018-09-06,359.500,22.300,-22.300,0,,,,,,,,,,,,,,,,,La Silla Observatory,0,311.837849,-12.929855,34.70,0.20,-0.20,0,4.45,0.04,-0.04,0,,,,
HD 13167,b,HD 13167 b,Radial Velocity,1,2613.00000000,17.00000000,-17.00000000,0,4.100000,0.340000,-0.340000,0,0.563000,0.033000,-0.033000,0,,,,,,,,,0,149.57,1.08,-1.08,0,149.57,1.08,-1.08,0,5671.00,,,0,1.35,,,0,2.39,,,0,2018-12-06,48.200,2.700,-2.700,0,,,,,,,,,,,,,,,,,W. M. Keck Observatory,0,209.214965,-72.579110,16.16,0.20,-0.20,0,3.72,,,0,,,,
HD 13189,b,HD 13189 b,Radial Velocity,1,471.60001000,6.00000000,-6.00000000,0,1.250000,0.080000,-0.080000,0,0.270000,0.060000,-0.060000,0,,,,,,,,,0,504.71,15.82,-15.82,0,504.71,15.82,-15.82,0,4175.00,33.00,-33.00,0,2.24,0.88,-0.88,0,38.41,4.84,-4.84,0,2018-09-06,173.300,9.800,-9.800,0,,,,,,,,,,,,,,,,,Thueringer Landessternwarte Tautenburg,0,141.567826,-27.708512,26.00,0.22,-0.22,0,1.62,0.13,-0.13,0,,,,
